,id,name,description,modified,available_comics,available_series,year,year_tags
53,1009220,Captain America,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty.",2020-04-04,2393,673,2020-01-01,2020-2021
54,1010914,Captain America (House of M),,2014-03-05,3,3,2014-01-01,2010-2017
57,1017575,Captain America (Sam Wilson),"<p class=""Body"">Sam Wilson, a Harlem native, previously operated under the name Falcon, fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America, Wilson was hand-picked to fill the role. Now the former Falcon soars through the skies wearing red, white and blue.</p>",2014-11-17,60,25,2014-01-01,2010-2017
58,1010913,Captain America (Ultimate),,2014-03-05,75,31,2014-01-01,2010-2017
60,1011050,D'Ken Neramani,,1969-12-31,2,2,1969-01-01,1969
61,1009258,Dagger,,2013-11-20,124,51,2013-01-01,2010-2017
62,1010774,Daily Bugle,,,3,3,,0
63,1010719,Daimon Hellstrom,,2012-10-12,56,25,2012-01-01,2010-2017
64,1011001,Daken,,2013-08-07,104,27,2013-01-01,2010-2017
65,1011333,Dakota North,,1969-12-31,20,6,1969-01-01,1969
66,1009259,Damage Control,,2016-09-06,18,7,2016-01-01,2010-2017
67,1009453,Dani Moonstar,,2013-08-06,64,18,2013-01-01,2010-2017
68,1010776,Danny Rand,,2004-04-14,1,1,2004-01-01,2004
69,1009262,Daredevil,"Abandoned by his mother, Matt Murdock was raised by his father, boxer ""Battling Jack"" Murdock, in Hell's Kitchen. Realizing that rules were needed to prevent people from behaving badly, young Matt decided to study law; however, when he saved a man from an oncoming truck, it spilled a radioactive cargo that rendered Matt blind while enhancing his remaining senses. Under the harsh tutelage of blind martial arts master Stick, Matt mastered his heightened senses and became a formidable fighter.",2020-03-04,1184,293,2020-01-01,2020-2021
72,1010919,Daredevil (Ultimate),,2014-03-05,22,10,2014-01-01,2010-2017
73,1011306,Dargo Ktor,,1969-12-31,1,1,1969-01-01,1969
74,1011367,Dark Avengers,,2013-10-17,79,22,2013-01-01,2010-2017
75,1010907,Dark Beast,,2013-10-17,10,5,2013-01-01,2010-2017
76,1009265,Dark Phoenix,,2011-04-22,21,15,2011-01-01,2010-2017
77,1011387,Dark X-Men,,1969-12-31,10,3,1969-01-01,1969
78,1011020,Darkhawk,,2013-10-24,55,18,2013-01-01,2010-2017
79,1009266,Darkstar,,1969-12-31,24,16,1969-01-01,1969
80,1009286,Earthquake,,1969-12-31,7,6,1969-01-01,1969
81,1010785,Echo,,2004-04-14,33,17,2004-01-01,2004
82,1010787,Eddie Brock,,2021-08-03,193,77,2021-01-01,2020-2021
85,1011072,Edwin Jarvis,,2011-08-08,105,31,2011-01-01,2010-2017
86,1011060,Ego,,2014-04-29,16,14,2014-01-01,2010-2017
87,1009287,Electro,,2015-06-12,86,41,2015-01-01,2010-2017
88,1010922,Electro (Ultimate),,1969-12-31,7,5,1969-01-01,1969
89,1009288,Elektra,,2017-08-21,208,58,2017-01-01,2010-2017
90,1010923,Elektra (Ultimate),,2014-03-05,11,4,2014-01-01,2010-2017
91,1010355,Elements of Doom,,1969-12-31,1,1,1969-01-01,1969
92,1009290,Elite,,1969-12-31,1,1,1969-01-01,1969
93,1011082,Elixir,,2013-11-01,26,7,2013-01-01,2010-2017
94,1011122,Elloe Kaifi,,2013-10-24,3,1,2013-01-01,2010-2017
95,1010701,Elsa Bloodstone,,1969-12-31,44,19,1969-01-01,1969
96,1009310,Emma Frost,,2016-07-05,406,133,2016-01-01,2010-2017
97,1009291,Empath,,,29,8,,0
98,1009292,Emplate,,1969-12-31,10,5,1969-01-01,1969
99,1010671,Enchantress (Amora),,2013-11-01,26,11,2013-01-01,2010-2017
100,1009248,Fabian Cortez,,1969-12-31,6,3,1969-01-01,1969
101,1009297,Falcon,"With a mental connection to all birds and a suit that gives him wings to fly, The Falcon has been both the partner to Captain America and an Avenger himself. Whether as a super hero or in his secret identity of social worker Sam Wilson, The Falcon dedicates his life to standing up for others.",2016-06-02,194,71,2016-01-01,2010-2017
104,1009298,Famine,,1969-12-31,15,3,1969-01-01,1969
105,1009299,Fantastic Four,"After being exposed to cosmic rays, Reed Richards, Susan Storm, Ben Grimm and Johnny Storm found they had amazing new powers. Reed Richards found he has the ability to stretch his body in any way he wanted, while Susan Storm can turn herself, objects and other people invisible. Ben Grimm transformed into a rocky, super-strong behemoth and Johnny Storm has the ability to set himself on fire. Dubbed the Fantastic Four, Mr. Fantastic, Invisible Woman, Thing and the Human Torch are Marvel's First Family.",2016-05-05,1442,391,2016-01-01,2010-2017
